species_a,species_b,subsample_rate,replicate,n_anchors_used,n_anchors_total,spearman_rho,elapsed_s
ARATH,MARPO,1.0,0,102613,102613,0.4580767561366401,0.14428444800432771
ARATH,MARPO,1.0,1,102613,102613,0.4580767561366401,0.16350784800306428
ARATH,MARPO,1.0,2,102613,102613,0.4580767561366401,0.14557443300145678
ARATH,MARPO,1.0,3,102613,102613,0.4580767561366401,0.20210479199886322
ARATH,MARPO,1.0,4,102613,102613,0.4580767561366401,0.14734762499574572
ARATH,MARPO,0.75,0,76960,102613,0.45664491708417804,0.1347297449974576
ARATH,MARPO,0.75,1,76960,102613,0.4588053193218453,0.1327048390012351
ARATH,MARPO,0.75,2,76960,102613,0.4574118571192995,0.19307134600239806
ARATH,MARPO,0.75,3,76960,102613,0.4593642569768238,0.1356734549990506
ARATH,MARPO,0.75,4,76960,102613,0.4588602982885034,0.1694112760014832
ARATH,MARPO,0.5,0,51306,102613,0.4564485453490929,0.19439517299906584
ARATH,MARPO,0.5,1,51306,102613,0.4573308200591842,0.11777961700136075
ARATH,MARPO,0.5,2,51306,102613,0.4596903419939303,0.1279333919956116
ARATH,MARPO,0.5,3,51306,102613,0.45496210621955063,0.1665066779969493
ARATH,MARPO,0.5,4,51306,102613,0.45969348115389125,0.11835628900007578
ARATH,MARPO,0.25,0,25653,102613,0.4538420433726304,0.12870225300139282
ARATH,MARPO,0.25,1,25653,102613,0.4558086585353253,0.2549439979993622
ARATH,MARPO,0.25,2,25653,102613,0.4570631110454057,0.11612305299786385
ARATH,MARPO,0.25,3,25653,102613,0.45537921676454957,0.1315909369950532
ARATH,MARPO,0.25,4,25653,102613,0.4577877937572482,0.18709995500103105
ARATH,MARPO,0.1,0,10261,102613,0.4601347146170147,0.07778779699583538
ARATH,MARPO,0.1,1,10261,102613,0.44948506133737126,0.08305493299849331
ARATH,MARPO,0.1,2,10261,102613,0.4531075116105891,0.19854674499947578
ARATH,MARPO,0.1,3,10261,102613,0.4538508346314581,0.07710823899833485
